Survey,Class,Class_descriptions
'MO_02_LMR_20240403_CS_105_0_106_0_SORT_A.png',1,
'MO_02_LMR_20240404_CS_101_0_102_0_SORT_A.png',1,
'MO_02_LMR_20240404_CS_106_0_107_0_SORT_A.png',1,
'MO_02_LMR_20240408_CS_158_0_158_8_SORT_A.png',1,
'MO_02_LMR_20240408_CS_161_0_161_8_SORT_A.png',1,
'MO_02_LMR_20240409_CS_143_0_144_0_SORT_A.png',1,
'MO_02_LMR_20240409_CS_148_0_149_0_SORT_A.png',1,
'MO_02_LMR_20240409_CS_149_0_150_0_SORT_A.png',1,
'MO_02_LMR_20240410_CS_177_8_178_8_SORT_A.png',1,
'MO_02_LMR_20240410_CS_179_8_180_5_SORT_A.png',1,
'MO_02_LMR_20240411_CS_172_0_172_5_SORT_A.png',1,
'MO_02_LMR_20240411_CS_182_9_183_4_SORT_A.png',1,
'MO_02_LMR_20240411_CS_184_5_185_5_SORT_A.png',1,
'MO_02_LMR_20240423_CS_101_0_102_0_SORT_A.png',1,
'MO_02_LMR_20240423_CS_104_0_105_0_SORT_A.png',1,
'MO_02_LMR_20240423_CS_105_0_106_0_SORT_A.png',3,
'MO_02_LMR_20240423_CS_177_8_178_8_SORT_A.png',1,
'MO_02_LMR_20240423_CS_179_8_180_5_SORT_A.png',1,
'MO_02_LMR_20240423_CS_182_5_183_5_SORT_A.png',1,
'MO_02_LMR_20240425_CS_108_0_109_0_SORT_A.png',3,
'MO_02_LMR_20240425_CS_148_0_149_0_SORT_A.png',1,
'MO_02_LMR_20240425_CS_161_0_161_8_SORT_A.png',1,
'MO_02_LMR_20240724_CS_106_0_107_8_SORT_A.png',3,
'MO_02_LMR_20240724_CS_107_0_108_0_SORT_A.png',1,
'MO_02_LMR_20240725_CS_130_0_131_0_SORT_A.png',3,
'MO_02_LMR_20240730_CS_192_0_192_5_SORT_A.png',1,
'MO_02_LMR_20240731_CS_108_0_109_0_SORT_A.png',1,
'MO_02_LMR_20240801_CS_148_0_149_0_SORT_A.png',1,
'MO_02_LMR_20240801_CS_149_0_150_0_SORT_A.png',1,
'MO_02_LMR_20240805_CS_179_8_180_5_SORT_A.png',3,
'MO_02_LMR_20240805_CS_182_5_183_5_SORT_A.png',3,
'MO_02_LMR_20240807_CS_101_0_102_0_SORT_A.png',1,
'MO_02_LMR_20240812_CS_110_0_111_0_SORT_A.png',1,
'MO_02_LMR_20240821_CS_148_0_149_0_SORT_A.png',3,
'MO_02_LMR_20240821_CS_149_0_150_0_SORT_A.png',1,
'MO_02_LMR_20240822_CS_177_8_178_8_SORT_A.png',1,
'MO_02_LMR_20240822_CS_179_8_180_5_SORT_A.png',2,
'MO_02_LMR_20240827_CS_105_0_106_0_SORT_A.png',1,
'MO_02_LMR_20240827_CS_106_0_107_0_SORT_A.png',1,
'MO_02_LMR_20240827_CS_107_0_108_0_SORT_A.png',1,
'MO_02_LMR_20240827_CS_108_0_109_0_SORT_A.png',3,
'MO_02_LMR_20240827_CS_110_0_111_0_SORT_A.png',3,
'MO_02_LMR_20240827_CS_130_0_131_0_SORT_A.png',3,
'MO_02_LMR_20240828_CS_122_4_123_2_SORT_A.png',3,
'MO_02_LMR_20240828_CS_132_5_133_5_SORT_A.png',1,
'MO_02_LMR_20240829_CS_135_0_136_0_SORT_A.png',1,
'MO_02_LMR_20240829_CS_141_9_142_5_SORT_A.png',3,
'MO_02_LMR_20240904_CS_172_0_174_0_SORT_A.png',3,
'MO_02_LMR_20240904_CS_175_0_175_5_SORT_A.png',1,
'MO_02_LMR_20240918_CS_183_5_184_0_SORT_A.png',2,
'MO_02_LMR_20240924_CS_161_0_161_8_SORT_A.png',1,
'MO_02_LMR_20240925_CS_190_5_191_0_SORT_A.png',1,
'MO_02_LMR_20240925_CS_192_0_192_5_SORT_A.png',1,
'MO_02_LMR_20240926_CS_110_0_111_0_SORT_A.png',2,
'MO_02_LMR_20240927_CS_184_5_186_0_SORT_A.png',1,
'MO_02_LMR_20241007_CS_110_0_111_0_SORT_A.png',3,
'MO_02_LMR_20241008_CS_175_0_176_0_SORT_A.png',1,
'MO_02_LMR_20241015_CS_142_0_143_0_SORT_A.png',3,
'MO_02_LMR_20241021_CS_142_0_143_0_SORT_A.png',3,
'MO_02_LMR_20241024_CS_110_0_111_0_SORT_A.png',2,
'MO_02_LMR_20241030_CS_182_5_183_5_SORT_A.png',3,
'MO_02_LMR_20241031_CS_158_0_159_0_SORT_A.png',1,
'MO_02_LMR_20250417_CS_148_0_149_0_SORT_A.png',1,
'MO_03_LMR_20210106_CS_281_5_282_5_SORT_A.png',1,
'MO_03_LMR_20210325_CS_281_5_282_5_SORT_A.png',2,
'MO_03_LMR_20210422_CS_281_5_282_5_SORT_A.png',2,
'MO_03_LMR_20210506_CS_280_0_282_0_SORT_A.png',1,
'MO_03_LMR_20210514_CS_280_0_281_1_SORT_A.png',1,
'MO_03_LMR_20210526_CS_280_0_280_5_SORT_A.png',1,
'MO_03_LMR_20210526_CS_280_5_281_0_SORT_A.png',1,
'MO_03_LMR_20210611_CS_280_0_281_1_SORT_A.png',1,
'MO_03_LMR_20210614_CS_213_7_214_8_SORT_A.png',1,
'MO_03_LMR_20210618_CS_280_0_281_1_SORT_A.png',1,
'MO_03_LMR_20210623_CS_270_0_271_5_SORT_A.png',1,
'MO_03_LMR_20210701_CS_270_0_271_5_SORT_A.png',1,
'MO_03_LMR_20210702_CS_280_0_281_1_SORT_A.png',1,
'MO_03_LMR_20210702_CS_281_7_282_5_SORT_A.png',1,
'MO_03_LMR_20210706_CS_280_0_281_2_SORT_A.png',1,
'MO_03_LMR_20210708_CS_213_7_214_8_SORT_A.png',1,
'MO_03_LMR_20210715_CS_217_0_218_0_SORT_A.png',1,
'MO_03_LMR_20210715_CS_238_3_239_0_SORT_A.png',1,
'MO_03_LMR_20210716_CS_270_0_271_5_SORT_A.png',1,
'MO_03_LMR_20210716_CS_280_0_281_1_SORT_A.png',1,
'MO_03_LMR_20210728_CS_213_7_214_8_SORT_A.png',1,
'MO_03_LMR_20210728_CS_216_8_217_8_SORT_A.png',1,
'MO_03_LMR_20210729_CS_280_0_281_0_SORT_A.png',1,
'MO_03_LMR_20210802_CS_281_5_282_5_SORT_A.png',2,
'MO_03_LMR_20210804_CS_270_0_270_9_SORT_A.png',1,
'MO_03_LMR_20210806_CS_270_9_271_5_SORT_A.png',1,
'MO_03_LMR_20210812_CS_280_0_281_1_SORT_A.png',1,
'MO_03_LMR_20210818_CS_270_0_271_5_SORT_A.png',1,
'MO_03_LMR_20210825_CS_280_0_281_1_SORT_A.png',1,
'MO_03_LMR_20210825_CS_281_5_282_5_SORT_A.png',1,
'MO_03_LMR_20210901_CS_270_0_271_5_SORT_A.png',1,
'MO_03_LMR_20210904_CS_213_7_214_9_SORT_A.png',1,
'MO_03_LMR_20210904_CS_216_8_217_8_SORT_A.png',3,
'MO_03_LMR_20210915_CS_270_0_271_5_SORT_A.png',1,
'MO_03_LMR_20210922_CS_213_7_214_8_SORT_A.png',1,
'MO_03_LMR_20210922_CS_216_8_217_8_SORT_A.png',3,
'MO_03_LMR_20210923_CS_280_0_281_1_SORT_A.png',2,
'MO_03_LMR_20210923_CS_281_5_282_5_SORT_A.png',1,
'MO_03_LMR_20220415_CS_213_7_214_8_SORT_A.png',1,
'MO_03_LMR_20220419_CS_216_8_217_8_SORT_A.png',1,
'MO_03_LMR_20220422_CS_281_5_282_5_SORT_A.png',1,
'MO_03_LMR_20220729_CS_267_5_268_5_SORT_A.png',1,
'MO_03_LMR_20220803_CS_286_9_287_4_SORT_A.png',1,
'MO_03_LMR_20220803_CS_298_0_298_5_SORT_A.png',1,
'MO_03_LMR_20220805_CS_281_5_282_5_SORT_A.png',1,
'MO_03_LMR_20230417_CS_286_3_287_1_SORT_A.png',1,
'MO_03_LMR_20230427_CS_286_5_287_0_SORT_A.png',1,
'MO_03_LMR_20230508_CS_286_5_287_0_SORT_A.png',1,
'MO_03_LMR_20230526_CS_275_0_276_0_SORT_A.png',3,
'MO_03_LMR_20230531_CS_284_0_285_0_SORT_A.png',1,
'MO_03_LMR_20230615_CS_286_5_287_0_SORT_A.png',1,
'MO_03_LMR_20230621_CS_275_0_276_0_SORT_A.png',2,
'MO_03_LMR_20230718_CS_284_0_284_6_SORT_A.png',3,
'MO_03_LMR_20230718_CS_286_5_287_0_SORT_A.png',1,
'MO_03_LMR_20230720_CS_274_0_275_0_SORT_A.png',3,
'MO_03_LMR_20230725_CS_244_8_245_5_SORT_A.png',1,
'MO_03_LMR_20230725_CS_248_0_248_5_SORT_A.png',1,
'MO_03_LMR_20230727_CS_208_0_208_5_SORT_A.png',1,
'MO_03_LMR_20230728_CS_286_5_287_0_SORT_A.png',1,
'MO_03_LMR_20230808_CS_266_5_267_5_SORT_A.png',1,
'MO_03_LMR_20230808_CS_267_5_268_2_SORT_A.png',1,
'MO_03_LMR_20230809_CS_275_0_276_0_SORT_A.png',3,
'MO_03_LMR_20230814_CS_270_0_271_0_SORT_A.png',1,
'MO_03_LMR_20230829_CS_244_7_245_0_SORT_A.png',1,
'MO_03_LMR_20230829_CS_246_6_249_0_SORT_A.png',1,
'MO_03_LMR_20230914_CS_237_4_238_5_SORT_A.png',1,
